Relleno,R,G,B,Forma,Peso,Diámetro,Altura,Chispas,Calorías,Marca,Azúcares,Categoria
0,184,140,68,0,4,50,5,0,18,Gamesa,"0,8",0
0,184,140,68,0,4,53,4,0,18,Gamesa,"0,8",0
0,184,140,68,0,4,52,4,0,18,Gamesa,"0,8",0
0,184,140,68,0,4,51,4,0,18,Gamesa,"0,8",0
0,184,140,68,0,4,52,4,0,18,Gamesa,"0,8",0
0,184,140,68,0,4,52,4,0,18,Gamesa,"0,8",0
1,159,126,56,0,12,43,12,0,60,Marinela,4,2
1,159,126,56,0,12,43,13,0,60,Marinela,4,2
1,159,126,56,0,12,43,11,0,60,Marinela,4,2
1,159,126,56,0,12,43,14,0,60,Marinela,4,2
1,31,26,25,0,12,44,11,0,53,Nabisco,5,1
1,31,26,25,0,11,44,11,0,52,Nabisco,5,1
0,189,139,68,1,3,35,7,0,13,Gamesa,"0,5",4
0,189,139,68,1,3,36,7,0,13,Gamesa,"0,5",4
0,189,139,68,1,3,34,6,0,13,Gamesa,"0,5",4
0,189,139,68,1,3,35,8,0,13,Gamesa,"0,5",4
0,189,139,68,1,3,47,7,0,13,Gamesa,"0,5",4
0,139,105,67,0,9,48,9,1,42,Marinela,3,3
0,139,105,67,0,9,50,10,1,42,Marinela,3,3
0,139,105,67,0,9,49,11,1,42,Marinela,3,3
0,219,162,86,1,3,52,2,0,120,Gamesa,2.5,0
1,20,20,20,1,10,43,10,0,49.44,Nabisco,3.7,1
1,245,187,95,1,11,41,11,0,50,Marinela,3.9,2
0,130,65,28,1,9,47,6,1,50.4,Marinela,3,3
0,191,138,73,0,3,32,11,0,11.4,Gamesa,0.72,4
0,219,162,86,1,4,54,2,0,120,Gamesa,2.5,0
1,20,20,20,1,11,48,9,0,49.44,Nabisco,3.7,1
1,245,187,95,1,11,42,11,0,50,Marinela,3.9,2
0,130,65,28,1,9,48,7,1,50.4,Marinela,3,3
0,191,138,73,0,2,35,7,0,11.4,Gamesa,0.72,4
0,219,162,86,1,4,49,1,0,120,Gamesa,2.5,0
1,20,20,20,1,11,47,11,0,49.44,Nabisco,3.7,1
1,245,187,95,1,11,43,11,0,50,Marinela,3.9,2
0,130,65,28,1,10,48,10,1,50.4,Marinela,3,3
0,191,138,73,0,2,37,6,0,11.4,Gamesa,0.72,4
1,20,20,20,1,11,47,11,0,49.44,Nabisco,3.7,1
1,20,20,20,1,11,47,11,0,49.44,Nabisco,3.7,1
0,191,138,73,0,3,34,11,0,11.4,Gamesa,0.72,4
0,130,65,28,1,9,47,6,1,50.4,Marinela,3,3
0,219,162,86,1,4,54,2,0,120,Gamesa,2.5,0
0,191,138,73,0,3,35,11,0,11.4,Gamesa,0.72,4
0,219,162,86,1,3,52,2,0,120,Gamesa,2.5,0
1,20,20,20,1,11,48,9,0,49.44,Nabisco,3.7,1
1,217,195,143,1,11,4,1,0,50.3,Marinela,"1,8",2
1,217,195,143,1,11,4,1,0,50.3,Marinela,"1,8",2
1,217,195,143,1,11,4,1,0,50.3,Marinela,"1,8",2
1,217,195,143,1,11,4,1,0,50.3,Marinela,"1,8",2
0,161,116,69,1,9,"4,5","0,7",1,49,Marinela,"2,727",3
0,161,116,69,1,9,"4,5","0,7",1,49,Marinela,"2,727",3
0,161,116,69,1,9,"4,5","0,7",1,49,Marinela,"2,727",3
0,161,116,69,1,9,"4,5","0,7",1,49,Marinela,"2,727",3
1,30,28,31,1,10,"4,3",1,0,47.1,Nabisco,"3,8",1
1,30,28,31,1,11,"4,3",1,0,47.1,Nabisco,"3,8",1
1,30,28,31,1,11,"4,3",1,0,47.1,Nabisco,"3,8",1
1,30,28,31,1,12,"4,3",1,0,47.1,Nabisco,"3,8",1
0,194,164,113,1,4,5,"0,3",0,27,Gamesa,"1,5",0
0,194,164,113,1,4,5,"0,3",0,27,Gamesa,"1,5",0
0,194,164,113,1,4,5,"0,3",0,27,Gamesa,"1,5",0
0,194,164,113,1,4,5,"0,3",0,27,Gamesa,"1,5",0
0,199,163,105,0,2,"3,5","0,5",0,10,Gamesa,"1,2",4
0,199,163,105,0,2,"3,5","0,5",0,10,Gamesa,"1,2",4
0,199,163,105,0,2,"3,5","0,5",0,10,Gamesa,"1,2",4
0,199,163,105,0,2,"3,5","0,7",0,10,Gamesa,"1,2",4
0,105,83,45,1,10,"4,1","0,9",1,2.6,Marinela,"0,5",3
1,171,145,80,1,11,"4,1",1,0,5,Marinela,5,2
1,16,19,19,1,10,"4,2","1,2",0,2,Nabisco,4,1
1,16,18,20,1,11,"4,2","1,3",0,4,Nabisco,4,1
1,17,17,19,1,11,"4,2","1,2",0,2,Nabisco,4,1
1,17,18,19,1,10,"4,2","1,1",0,3,Nabisco,4,1
0,160,120,63,1,5,"5,3","0,1",0,1,Gamesa,"0,8",0
1,172,144,82,1,10,"4,1","1,1",0,6,Marinela,5,2
1,172,144,82,1,12,"4,1","1,1",0,6,Marinela,5,2
0,165,121,63,1,5,"5,3","0,1",0,1,Gamesa,"0,8",0
